Anio,Periodo,Valor
2016,Trimestre 4,94
2017,Trimestre 4,69
2018,Trimestre 4,81
2019,Trimestre 4,89
2020,Trimestre 4,76
2021,Trimestre 4,97
2022,Trimestre 4,85
