Anio,Periodo,Valor
2016,Trimestre 4,1.249
2017,Trimestre 4,1.382
2018,Trimestre 4,1.700
2019,Trimestre 4,1.873
2020,Trimestre 4,1.596
2021,Trimestre 4,2.143
2022,Trimestre 4,2.870
