Anio,Periodo,Valor
2012,Trimestre 4,790.281
2013,Trimestre 4,770.296
2014,Trimestre 4,727.800
2015,Trimestre 4,715.469
2016,Trimestre 4,711.507
2017,Trimestre 4,712.398
2018,Trimestre 4,706.072
2019,Trimestre 4,700.453
2020,Trimestre 4,420.950
2021,Trimestre 4,493.479
2022,Trimestre 4,642.579
